address,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zipcode
Address: 1380 Oakdale Avenue,1380 Oakdale Ave,1.0,3.0,1578.0,06/29/2015,271500.0,37.732427,-122.385963,Bayview,6.0,Condominium,2001.0,762517.0,94124.0
Address: 418 Jessie Street #503A,418 Jessie St APT 603A,1.0,1.0,728.0,09/16/2015,970000.0,37.782654,-122.407811,South of Market,5.0,Condominium,1900.0,969663.0,94103.0
Address: 301 Mission Street #1A,301 Mission St PH 1A,3.0,3.0,2706.0,06/26/2015,8100000.0,37.790542,-122.395919,South Beach,3.0,Condominium,2009.0,8064976.0,94105.0
Address: 364 Arkansas Street,364 Arkansas St,2.0,2.0,1031.0,06/26/2015,1100000.0,37.76181,-122.398865,Potrero Hill,5.0,Condominium,1995.0,1094328.0,94107.0
Address: 631 Folsom Street #20C,631 Folsom St APT 20C,2.0,2.0,1054.0,06/26/2015,1550000.0,37.784713,-122.396873,Yerba Buena,5.0,Condominium,2009.0,1440011.0,94107.0
Address: 1177 California Street #1201,1177 California St APT 1201,1.0,1.0,884.0,06/26/2015,930000.0,37.791089,-122.413658,Downtown,3.0,Condominium,1978.0,953543.0,94108.0
Address: 1855 Sacramento Street #2,1855 Sacramento St APT 2,1.0,2.0,1251.8852845624788,06/26/2015,1305000.0,37.790911,-122.423374,Pacific Heights,5.0,Condominium,1916.0,1188426.0,94109.0
Address: 564 Diamond Street,564 Diamond St,1.5,3.0,1595.0,06/27/2015,2160000.0,37.753298,-122.436849,Noe Valley,6.0,SingleFamily,1914.0,1910784.0,94114.0
Address: 2023 43rd Avenue,2023 43rd Ave,2.0,4.0,1439.0,06/26/2015,850000.0,37.748873,-122.502222,Outer Parkside,7.0,SingleFamily,1946.0,1105138.0,94116.0
Address: 455 Upper Terrace #5,455 Upper Ter APT 5,2.0,2.0,980.0,06/26/2015,1150000.0,37.763565,-122.445114,Parnassus - Ashbury,5.0,Condominium,1970.0,1134900.0,94117.0
Address: 956 Ashbury Street,956 Ashbury St,2.5,5.0,3000.0,06/26/2015,3000000.0,37.76485,-122.445506,Parnassus - Ashbury,6.0,SingleFamily,1910.0,3720735.0,94117.0
Address: 3832 Moraga Street,3832 Moraga St,1.0,2.0,950.0,06/26/2015,930000.0,37.755145,-122.504031,Outer Sunset,4.0,SingleFamily,1947.0,918919.0,94122.0
Address: 1745 11th Avenue,1745 11th Ave,3.0,4.0,2347.0,06/26/2015,1550000.0,37.755581,-122.468208,Inner Sunset,8.0,SingleFamily,1986.0,1596827.0,94122.0
Address: 3539 Webster Street,3539 Webster St,5.0,6.0,4197.0,06/26/2015,3322500.0,37.803389,-122.435378,Marina,14.0,Duplex,1986.0,3699737.0,94123.0
Address: 96 Bitting Avenue,96 Bitting Ave,2.0,3.0,1394.0,06/26/2015,740000.0,37.727307,-122.398777,Bayview,6.0,SingleFamily,1998.0,738865.0,94124.0
Address: 27 Rio Court,27 Rio Ct,3.0,3.0,2315.0,06/26/2015,1775000.0,37.73836,-122.445579,Miraloma Park,8.0,SingleFamily,1940.0,1690494.0,94127.0
Address: 8200 Oceanview Terrace #113,8200 Oceanview Ter APT 113,1.0,1.0,747.0,06/26/2015,535000.0,37.710092,-122.467427,Ingleside Heights,4.0,Condominium,2002.0,538453.0,94132.0
Address: 385 Maynard Street,385 Maynard St,2.0,3.0,1244.0,06/25/2015,850000.0,37.730503,-122.422721,Excelsior,6.0,SingleFamily,1942.0,852769.0,94112.0
Address: 506 6th Avenue,506 6th Ave,3.0,4.0,2200.0,06/25/2015,2050000.0,37.778899,-122.463845,Inner Richmond,7.0,SingleFamily,1939.0,1949172.0,94118.0
Address: 3383 Clay Street,3383 Clay St,3.5,4.0,3150.0,06/25/2015,4500000.0,37.788667,-122.448409,Presidio Heights,11.0,SingleFamily,1907.0,4848774.0,94118.0
Address: 454 32nd Avenue,454 32nd Ave,1.0,2.0,1200.0,07/06/2015,1213800.0,37.78065,-122.491971,Central Richmond,5.0,SingleFamily,1924.0,1175454.0,94121.0
Address: 3350 Cabrillo Street,3350 Cabrillo St,3.0,3.0,2201.0,06/25/2015,1808500.0,37.774096,-122.494786,Outer Richmond,6.0,SingleFamily,1924.0,1846563.0,94121.0
Address: 49 Scotia Avenue,49 Scotia Ave,1.0,2.0,1482.0,06/25/2015,705000.0,37.733831,-122.401209,Silver Terrace,5.0,SingleFamily,1937.0,805941.0,94124.0
Address: 119 Joost Avenue,119 Joost Ave,2.0,3.0,1706.0,06/25/2015,1484500.0,37.732142,-122.437953,Sunnyside,5.0,SingleFamily,1931.0,1514533.0,94131.0
Address: 174 Springfield Drive,174 Springfield Dr,2.0,2.0,1400.0,06/25/2015,1302000.0,37.7312,-122.4877,Lakeshore,8.0,SingleFamily,1950.0,1214687.0,94132.0
Address: 111 Hahn Street,111 Hahn St,1.0,2.0,975.0,06/25/2015,625000.0,37.713144,-122.415124,Visitacion Valley,5.0,SingleFamily,1944.0,639393.0,94134.0
Address: 45 Rosemont Place,45 Rosemont Pl,2.0,3.0,1828.0,06/24/2015,1950000.0,37.768513,-122.42528,Mission,6.0,Condominium,2003.0,1852078.0,94103.0
Address: 821 Folsom Street #315,821 Folsom St APT 315,2.0,2.0,1074.0,06/24/2015,1100000.0,37.781385,-122.40136,Yerba Buena,5.0,Condominium,2004.0,1149456.0,94107.0
Address: 320 Alabama Street #22,320 Alabama St APT 22,1.0,1.0,1249.0,06/24/2015,1320000.0,37.765164,-122.41275,Mission,3.0,Condominium,2003.0,1323447.0,94110.0
Address: 1617 Treat Avenue,1617 Treat Ave,1.0,3.0,1314.0,06/24/2015,1605000.0,37.744616,-122.412054,Bernal Heights,6.0,SingleFamily,1910.0,1407518.0,94110.0
Address: 917 Florida Street,917 Florida St,1.0,3.0,1405.0,06/24/2015,1660000.0,37.756789,-122.410176,Mission,7.0,SingleFamily,1900.0,1036333.0,94110.0
Address: 2350 39th Avenue,2350 39th Ave,1.0,3.0,1220.0,06/24/2015,1100000.0,37.74302,-122.496854,Outer Parkside,5.0,SingleFamily,1950.0,1118276.0,94116.0
Address: 300 Mangels Avenue,300 Mangels Ave,2.0,3.0,1454.0,06/24/2015,1100000.0,37.733215,-122.444597,Sunnyside,6.0,SingleFamily,1951.0,1333590.0,94127.0
Address: 11 Argent Aly #2,11 Argent Aly APT 2,1.0,1.0,566.0,06/24/2015,575000.0,37.752704,-122.443049,Twin Peaks,3.0,Condominium,1970.0,596602.0,94131.0
Address: 749 Congo Street,749 Congo St,2.0,2.0,1534.0,06/24/2015,1425000.0,37.735276,-122.44127,Glen Park,5.0,SingleFamily,1925.0,1456227.0,94131.0
Address: 961 Pacific Avenue,961 Pacific Ave,1.0,3.0,1460.0,06/24/2015,1300000.0,37.796229,-122.410998,Nob Hill,6.0,SingleFamily,1946.0,1341566.0,94133.0
Address: 121 Ward Street,121 Ward St,2.0,2.0,1200.0,06/24/2015,570000.0,37.718679,-122.401358,Visitacion Valley,6.0,SingleFamily,1900.0,778717.0,94134.0
Address: 1350 Felton Street,1350 Felton St,3.0,3.0,1871.0,06/29/2015,1160000.0,37.726596,-122.418215,Portola,7.0,SingleFamily,1973.0,1249199.0,94134.0
Address: 360 10th Street #3,360 10th St APT 3,2.0,1.0,1359.0,06/23/2015,950000.0,37.771865,-122.412098,South of Market,6.0,Condominium,2001.0,974969.0,94103.0
Address: 88 King Street #1219,88 King St UNIT 1219,2.0,2.0,1165.0,06/23/2015,1508000.0,37.780632,-122.389625,South Beach,4.0,Condominium,2000.0,1548103.0,94107.0
Address: 703 Crescent Avenue,703 Crescent Ave,1.0,2.0,903.0,06/23/2015,912500.0,37.734966,-122.414697,Bernal Heights,4.0,SingleFamily,1908.0,1028524.0,94110.0
Address: 101 Lombard Street #309W,101 Lombard St APT 309W,2.0,2.0,1590.0,06/23/2015,1100000.0,37.80347,-122.40409,Telegraph Hill,5.0,Condominium,1983.0,1544429.0,94111.0
Address: 976 Elizabeth Street,976 Elizabeth St,2.0,2.0,1671.0,06/23/2015,800000.0,37.751853,-122.442153,Noe Valley,6.0,Condominium,2008.0,1607969.0,94114.0
Address: 240 Caselli Avenue,240 Caselli Ave,3.5,3.0,1966.0,06/23/2015,2350000.0,37.759508,-122.443698,Eureka Valley - Dolores Heights - Castro,6.0,SingleFamily,1906.0,2087877.0,94114.0
Address: 2800 California Street #402,2800 California St # 402,1.0,2.0,800.0,09/18/2015,407500.0,37.78829,-122.44083,Pacific Heights,4.0,Condominium,1987.0,846790.0,94115.0
Address: 2583 31st Avenue,2583 31st Ave,2.5,4.0,1613.0,06/23/2015,1025000.0,37.739087,-122.488639,Parkside,7.0,SingleFamily,1908.0,1141106.0,94116.0
Address: 2519 27th Avenue,2519 27th Ave,2.0,3.0,1400.0,06/23/2015,1298000.0,37.740379,-122.484432,Parkside,6.0,SingleFamily,1906.0,1115318.0,94116.0
Address: 1860 Page Street #201,1860 Page St UNIT 201,2.0,3.0,1660.0,06/23/2015,1700000.0,37.770679,-122.451416,Haight-Ashbury,7.0,Condominium,2010.0,1666963.0,94117.0
Address: 318 30th Avenue,318 30th Ave,2.0,3.0,1150.0,06/23/2015,1242000.0,37.783237,-122.490008,Central Richmond,7.0,SingleFamily,1910.0,1255204.0,94121.0
Address: 715 46th Avenue,715 46th Ave,2.0,3.0,1395.0,06/23/2015,1300000.0,37.774909,-122.507206,Outer Richmond,7.0,SingleFamily,1923.0,1230675.0,94121.0
Address: 2690 15th Avenue,2690 15th Ave,2.0,3.0,1656.0,06/23/2015,1450000.0,37.737868,-122.470725,West Portal,6.0,SingleFamily,1938.0,1264283.0,94127.0
Address: 168 Lunado Court,168 Lunado Ct,3.0,4.0,2887.0,06/23/2015,1680000.0,37.725522,-122.470393,Ingleside Terrace,9.0,SingleFamily,1937.0,2127639.0,94127.0
Address: 134 Wawona Street,134 Wawona St,2.0,4.0,1888.0,06/23/2015,1990000.0,37.740871,-122.467347,West Portal,8.0,SingleFamily,1921.0,1732622.0,94127.0
Address: 154 Vernon Street,154 Vernon St,1.0,2.0,1620.0,06/23/2015,700000.0,37.715305,-122.467731,Ingleside Heights,6.0,SingleFamily,1947.0,745495.0,94132.0
Address: 83 McAllister Street #508,83 Mcallister St APT 508,1.0,1.0,678.0,06/22/2015,720000.0,37.7807,-122.41327,Van Ness - Civic Center,3.0,Condominium,2007.0,860927.0,94102.0
Address: 2501 Harrison Street #16,2501 Harrison St STE 16,1.5,1.0,1047.0,06/22/2015,1260000.0,37.757185,-122.412062,Mission,6.0,Condominium,2001.0,1201985.0,94110.0
Address: 422 Vicente Street,422 Vicente St,5.0,5.0,5000.0,06/22/2015,999000.0,37.739741,-122.471587,Inner Parkside,10.0,SingleFamily,2015.0,1997845.0,94116.0
Address: 1921 17th Avenue,1921 17th Ave,1.0,2.0,1678.0,03/04/2016,1525000.0,37.751999,-122.474488,Inner Parkside,6.0,SingleFamily,1932.0,1235994.0,94116.0
Address: 422 21st Avenue,422 21st Ave,3.5,4.0,3500.0,06/22/2015,2250000.0,37.779754,-122.480081,Central Richmond,8.0,SingleFamily,1914.0,2406787.0,94121.0
Address: 1175 Girard Street,1175 Girard St,1.0,2.0,1045.0,06/22/2015,670000.0,37.718385,-122.400664,Visitacion Valley,5.0,SingleFamily,1964.0,690580.0,94134.0
Address: 1160 Mission Street #506,1160 Mission St UNIT 506,2.0,2.0,1235.0,06/19/2015,1430000.0,37.778705,-122.412635,South of Market,5.0,Condominium,2009.0,1463700.0,94103.0
Address: 425 1st Street #1307,425 1st St UNIT 1307,1.0,1.0,819.0,07/01/2015,1050000.0,37.786064,-122.392173,South Beach,3.0,Condominium,2008.0,1141607.0,94105.0
Address: 188 Minna Street #30C,188 Minna St APT 30C,2.5,2.0,1670.0,06/19/2015,3000000.0,37.786289,-122.401374,Yerba Buena,7.0,Condominium,2005.0,3408988.0,94105.0
Address: 555 4th Street #930,555 4th St UNIT 930,1.0,1.0,660.0,06/19/2015,851000.0,37.779422,-122.396712,South of Market,4.0,Condominium,2006.0,836706.0,94107.0
Address: 260 King Street #1405,260 King St UNIT 1405,2.0,2.0,1488.0,06/19/2015,1538500.0,37.777641,-122.393417,South of Market,4.0,Condominium,2004.0,1578226.0,94107.0
Address: 1001 Pine Street #1112,1001 Pine St APT 1112,1.0,1.0,450.0,06/19/2015,1075000.0,37.790345,-122.412575,Downtown,2.0,Condominium,1963.0,902010.0,94109.0
Address: 1775 Broadway #19,1775 Broadway # 19,2.0,2.0,1069.0,06/19/2015,1427000.0,37.795127,-122.426213,Pacific Heights,5.0,Condominium,1925.0,1401746.0,94109.0
Address: 2340 Larkin Street #2,2340 Larkin St APT 2,2.0,2.0,2103.0,06/19/2015,2910000.0,37.799615,-122.42047,Russian Hill,7.0,Condominium,1925.0,2894156.0,94109.0
Address: 3321 19th Street,3321 19th St,2.5,3.0,1700.0,06/19/2015,1680000.0,37.760155,-122.417532,Mission,6.0,MultiFamily2To4,1900.0,1687269.0,94110.0
Address: 139 Tingley Street,139 Tingley St,1.0,2.0,1325.0,06/19/2015,950000.0,37.729584,-122.434661,Mission Terrace,5.0,SingleFamily,1935.0,979346.0,94112.0
Address: 191 Lower Terrace,191 Lower Ter,2.0,3.0,1831.0,06/19/2015,1765000.0,37.763107,-122.443634,Corona Heights,6.0,Condominium,2006.0,1689651.0,94114.0
Address: 4540 19th Street,4540 19th St,2.0,3.0,1750.0,06/19/2015,1990000.0,37.759225,-122.439964,Eureka Valley - Dolores Heights - Castro,6.0,SingleFamily,1922.0,2873777.0,94114.0
Address: 4546 19th Street,4546 19th St,1.0,3.0,1750.0,06/19/2015,3500000.0,37.759228,-122.440055,Eureka Valley - Dolores Heights - Castro,6.0,SingleFamily,1923.0,3087574.0,94114.0
Address: 2118 22nd Avenue,2118 22nd Ave,1.5,4.0,1468.0,06/19/2015,1171500.0,37.748102,-122.478939,Parkside,5.0,SingleFamily,1930.0,1176660.0,94116.0
Address: 76 Rossi Avenue,76 Rossi Ave,4.0,6.0,2868.0,06/19/2015,2895000.0,37.778186,-122.455946,Lone Mountain,9.0,SingleFamily,2008.0,3255637.0,94118.0
Address: 155 24th Avenue #5,155 24th Ave APT 5,2.0,3.0,1572.0,06/19/2015,1650000.0,37.786575,-122.48447,Lake,6.0,Condominium,1921.0,1811255.0,94121.0
Address: 55 Maddux Avenue,55 Maddux Ave,1.0,2.0,850.0,06/19/2015,580000.0,37.734335,-122.398084,Silver Terrace,4.0,SingleFamily,1943.0,607033.0,94124.0
Address: 1500 Jerrold Avenue,1500 Jerrold Ave,2.0,3.0,1250.0,06/19/2015,850000.0,37.737999,-122.387476,Bayview,6.0,SingleFamily,1941.0,811909.0,94124.0
Address: 5175 Diamond Heights Boulevard #120,5175 Diamond Heights Blvd APT 120,1.0,1.0,700.0,06/19/2015,680000.0,37.745847,-122.439604,Diamond Heights,3.0,Condominium,1980.0,669009.0,94131.0
Address: 429 Dellbrook Avenue,429 Dellbrook Ave,2.0,3.0,1127.0,06/19/2015,1260000.0,37.75366,-122.453755,Midtown Terrace,6.0,SingleFamily,1958.0,1301796.0,94131.0
Address: 419 Bright Street,419 Bright St,2.0,3.0,1626.0880298932025,06/19/2015,1068000.0,37.718304,-122.463822,Merced Heights,6.0,SingleFamily,1956.0,1092857.0,94132.0
Address: 1 Huntington Drive,1 Huntington Dr,2.5,3.0,1589.0,06/19/2015,1400000.0,37.730873,-122.495335,Lakeshore,8.0,SingleFamily,1954.0,1378381.0,94132.0
Address: 3164 San Bruno Avenue,3164 San Bruno Ave,2.0,3.0,1375.0,06/19/2015,588000.0,37.72199,-122.4016,Portola,8.0,SingleFamily,1915.0,952447.0,94134.0
Address: 1759 48th Avenue,1759 48th Ave,2.0,2.0,1475.0,06/19/2015,981000.0,37.753619,-122.507898,Outer Sunset,8.0,SingleFamily,1947.0,1008181.0,94122.0
Address: 821 Folsom Street #207,821 Folsom St APT 207,2.0,2.0,1105.0,06/18/2015,1185000.0,37.781385,-122.40136,Yerba Buena,5.0,Condominium,2004.0,1160253.0,94107.0
Address: 170 King Street #927,170 King St UNIT 927,2.0,2.0,1019.0,06/18/2015,1295000.0,37.77898,-122.391769,South Beach,4.0,Condominium,2007.0,1307745.0,94107.0
Address: 1040 Pine Street #A,1040 Pine St # A,1.0,1.0,644.0,06/18/2015,760000.0,37.790619,-122.412963,Downtown,3.0,Condominium,1909.0,770388.0,94109.0
Address: 851 Van Ness Avenue #201,851 Van Ness Ave APT 201,2.0,2.0,1054.0,06/18/2015,950000.0,37.78352,-122.421356,Van Ness - Civic Center,3.0,Condominium,2002.0,978265.0,94109.0
Address: 386 Dolores Street,386-390 Dolores St,4.0,6.0,3301.0,06/18/2015,106000.0,37.763257,-122.426639,Mission,15.0,Duplex,1900.0,2801618.0,94110.0
Address: 1231 York Street #1231A,1231 York St # 1231A,2.0,3.0,1434.0,06/18/2015,955000.0,37.751841,-122.407815,Mission,7.0,Duplex,1900.0,1068004.0,94110.0
Address: 2981 26th Street #1,2981 26th St # 1,2.0,3.0,1168.0,06/18/2015,987500.0,37.749365,-122.409605,Mission,7.0,Condominium,1993.0,969710.0,94110.0
Address: 530 Ellsworth Street,530 Ellsworth St,3.0,4.0,2050.0,06/18/2015,1705000.0,37.736683,-122.414954,Bernal Heights,9.0,SingleFamily,1934.0,1687584.0,94110.0
Address: 42 Stoneybrook Avenue,42 Stoneybrook Ave,1.0,2.0,862.0,06/18/2015,750000.0,37.730203,-122.422039,Excelsior,4.0,SingleFamily,1942.0,751077.0,94112.0
Address: 88 Museum Way,88 Museum Way,2.5,3.0,2129.0,06/18/2015,2200000.0,37.76437,-122.44036,Corona Heights,7.0,Condominium,1981.0,2273351.0,94114.0
Address: 2075 Sutter Street #501,2075 Sutter St APT 501,2.0,2.0,1120.0,06/18/2015,1290000.0,37.785647,-122.434462,Lower Pacific Heights,5.0,Condominium,1992.0,1315579.0,94115.0
Address: 2715 Pine Street,2715 Pine St,2.0,3.0,1807.0,06/18/2015,1850000.0,37.786754,-122.440799,Lower Pacific Heights,6.0,Condominium,2006.0,1670195.0,94115.0
Address: 2259 Clay Street,2259 Clay St,3.0,3.0,2613.0,06/18/2015,3800000.0,37.790944,-122.430228,Pacific Heights,9.0,Condominium,1936.0,3952560.0,94115.0
Address: 2114 28th Avenue,2114 28th Ave,4.0,5.0,2200.0,06/18/2015,1680000.0,37.747884,-122.48544,Parkside,9.0,SingleFamily,1940.0,1496824.0,94116.0
Address: 45 Castenada Avenue,45 Castenada Ave,2.5,3.0,2216.0,06/18/2015,1725000.0,37.750366,-122.461673,Forest Hill,7.0,SingleFamily,1922.0,2091477.0,94116.0
Address: 1427 42nd Avenue,1427 42nd Ave,2.0,3.0,1959.0,06/18/2015,1200000.0,37.760045,-122.501929,Outer Sunset,8.0,SingleFamily,1930.0,1215839.0,94122.0
Address: 52 Gould Street,52 Gould St,2.0,3.0,1297.0,06/18/2015,660000.0,37.721944,-122.398187,Bayview,7.0,SingleFamily,1979.0,685443.0,94124.0
Address: 422 Molimo Drive,422 Molimo Dr,1.5,2.0,1087.0,06/18/2015,1060000.0,37.738245,-122.451164,Miraloma Park,5.0,SingleFamily,1948.0,1042326.0,94127.0
Address: 8 Octavia Street #507,8 Octavia St UNIT 507,2.0,2.0,1001.0,06/17/2015,309000.0,37.772243,-122.423439,Hayes Valley,5.0,Condominium,2014.0,1091884.0,94102.0
Address: 273 Shipley Street,273 Shipley St,1.0,2.0,835.0,06/17/2015,820000.0,37.778575,-122.404151,South of Market,3.0,Condominium,1993.0,827339.0,94107.0
Address: 123 Naples Street,123 Naples St,1.0,2.0,1040.0,06/17/2015,800000.0,37.726559,-122.426556,Excelsior,5.0,SingleFamily,1926.0,873923.0,94112.0
Address: 494 Liberty Street,494 Liberty St,2.0,2.0,2478.0,06/17/2015,1700000.0,37.757205,-122.432185,Eureka Valley - Dolores Heights - Castro,9.0,Miscellaneous,1941.0,1653330.0,94114.0
Address: 3015 Pacific Avenue,3015 Pacific Ave,6.0,7.0,5000.0,06/17/2015,12000000.0,37.791777,-122.444999,Pacific Heights,12.0,SingleFamily,1912.0,12286845.0,94115.0
Address: 1673 11th Avenue,1673 11th Ave,2.0,3.0,2007.0,02/04/2016,1695000.0,37.756963,-122.468292,Inner Sunset,4.0,Condominium,1947.0,1599449.0,94122.0
Address: 2622 Chestnut Street,2622 Chestnut St,4.5,5.0,3650.0,06/17/2015,4600000.0,37.799724,-122.446676,Cow Hollow,8.0,SingleFamily,1925.0,6063053.0,94123.0
Address: 255 Moncada Way,255 Moncada Way,2.0,3.0,1811.0,06/17/2015,1800000.0,37.72796,-122.469281,Ingleside Terrace,9.0,SingleFamily,1935.0,1709728.0,94127.0
Address: 57 Westgate Drive,57 Westgate Dr,3.0,4.0,2620.0,06/17/2015,2000000.0,37.728048,-122.466063,Mount Davidson Manor,8.0,SingleFamily,1928.0,1893554.0,94127.0
Address: 51 Cityview Way,51 Cityview Way,2.0,4.0,1153.0,06/17/2015,1200500.0,37.748657,-122.45065,Midtown Terrace,6.0,SingleFamily,1955.0,1073823.0,94131.0
Address: 425 1st Street #807,425 1st St UNIT 807,1.0,1.0,819.0,06/16/2015,1025000.0,37.786064,-122.392173,South Beach,3.0,Condominium,2008.0,1138826.0,94105.0
Address: 3542 24th Street,3542-3544 24TH St,3.0,6.0,3255.0,06/16/2015,1785000.0,37.752267,-122.42237,Mission,11.0,MultiFamily2To4,1880.0,3456298.0,94110.0
Address: 4525 19th Street,4525 19th St,1.5,3.0,1246.0,06/16/2015,1325000.0,37.758792,-122.439765,Eureka Valley - Dolores Heights - Castro,5.0,Condominium,1908.0,1362437.0,94114.0
Address: 512 Elizabeth Street,512 Elizabeth St,3.0,4.0,2174.0,06/16/2015,2800000.0,37.752437,-122.432498,Noe Valley,10.0,Condominium,1906.0,2751481.0,94114.0
Address: 1506 Golden Gate Avenue,1506 Golden Gate Ave,2.0,3.0,2138.0,06/16/2015,1199000.0,37.779346,-122.435578,Western Addition,7.0,Condominium,1896.0,2309473.0,94115.0
Address: 2734 42nd Avenue,2734 42nd Ave,1.0,2.0,1500.0,06/16/2015,1050000.0,37.735693,-122.499564,Outer Parkside,7.0,SingleFamily,1948.0,1092672.0,94116.0
Address: 1926 16th Avenue,1926 16th Ave,2.0,3.0,2080.0,06/16/2015,1350000.0,37.751984,-122.472752,Inner Parkside,7.0,SingleFamily,1938.0,1396281.0,94116.0
Address: 454 Lake Street,454 Lake St,1.0,2.0,986.0,06/16/2015,1375000.0,37.786905,-122.464554,Lake,6.0,Condominium,1912.0,1496965.0,94118.0
Address: 685 20th Avenue,685-687 20TH Ave,4.0,4.0,3850.0,06/16/2015,1100000.0,37.774974,-122.479266,Central Richmond,14.0,Duplex,1924.0,1834450.0,94121.0
Address: 1347 14th Avenue,1347 14th Ave,2.0,3.0,1809.0,06/16/2015,1700000.0,37.762891,-122.471946,Inner Sunset,7.0,SingleFamily,1938.0,1421396.0,94122.0
Address: 1650 North Point Street,1650 N Point St,2.0,3.0,1950.0,06/16/2015,2800000.0,37.804203,-122.434451,Marina,6.0,SingleFamily,1931.0,3162614.0,94123.0
Address: 1414 Oakdale Avenue,1414 Oakdale Ave,1.0,2.0,1200.0,06/16/2015,630000.0,37.732877,-122.386757,Bayview,5.0,SingleFamily,1940.0,576867.0,94124.0
Address: 1155 Monterey Boulevard,1155 Monterey Blvd,1.0,2.0,1562.0,06/16/2015,1300000.0,37.729864,-122.46102,Mount Davidson Manor,6.0,SingleFamily,1926.0,1314375.0,94127.0
Address: 155 Bright Street,155 Bright St,2.5,3.0,1000.0,06/16/2015,520000.0,37.713526,-122.463769,Ingleside Heights,4.0,SingleFamily,1946.0,722198.0,94132.0
Address: 566 South Van Ness Avenue #6,566 S Van Ness Ave APT 6,2.0,2.0,936.0,06/16/2015,880000.0,37.763992,-122.417823,Mission,5.0,SingleFamily,2007.0,925705.0,94110.0
Address: 471 Hoffman Avenue,471 Hoffman Ave,4.5,5.0,1222.0,06/16/2015,6700000.0,37.749806,-122.440231,Noe Valley,5.0,SingleFamily,1955.0,2023850.0,94114.0
Address: 425 1st Street #4302,425 1st St UNIT 4302,2.0,2.0,1309.0,06/15/2015,2338000.0,37.786064,-122.392173,South Beach,4.0,Condominium,2008.0,2289173.0,94105.0
Address: 855 Folsom Street #504,855 Folsom St APT 504,2.0,1.0,950.0,06/15/2015,970000.0,37.780767,-122.402142,Yerba Buena,4.0,Condominium,2001.0,1043403.0,94107.0
Address: 1483 Sutter Street #408,1483 Sutter St APT 408,1.0,1.0,1057.0,06/15/2015,925000.0,37.78675,-122.424235,Van Ness - Civic Center,4.0,Condominium,1993.0,961711.0,94109.0
Address: 2444 Van Ness Avenue #2,2444 Van Ness Ave APT 2,2.0,2.0,1454.0,06/15/2015,1140000.0,37.798282,-122.42349,Russian Hill,5.0,Condominium,1926.0,1202954.0,94109.0
Address: 848 Lyon Street,848 Lyon St,3.0,3.0,2329.0,06/15/2015,1975000.0,37.778804,-122.443342,North Panhandle,7.0,SingleFamily,1900.0,2311889.0,94115.0
Address: 2974 Pacific Avenue,2974 Pacific Ave,1.5,1.0,875.0,06/15/2015,3700000.0,37.792404,-122.444319,Pacific Heights,3.0,SingleFamily,1917.0,4181205.0,94115.0
Address: 1928 Fell Street,1928 Fell St,1.5,4.0,2035.0,06/15/2015,1410000.0,37.77281,-122.449735,North Panhandle,7.0,SingleFamily,1906.0,1491776.0,94117.0
Address: 155 Tucker Avenue,155 Tucker Ave,1.0,2.0,810.0,06/15/2015,462000.0,37.716043,-122.407165,Visitacion Valley,6.0,SingleFamily,1910.0,731823.0,94134.0
Address: 2444 Van Ness Avenue #1,2444 Van Ness Ave APT 1,2.0,2.0,1421.0,06/15/2015,1140000.0,37.798282,-122.42349,Russian Hill,5.0,Condominium,1926.0,1205025.0,94109.0
Address: 2444 Van Ness Avenue #3,2444 Van Ness Ave APT 3,2.0,2.0,1421.0,06/15/2015,1140000.0,37.798282,-122.42349,Russian Hill,5.0,Condominium,1926.0,1199083.0,94109.0
Address: 2444 Van Ness Avenue #4,2444 Van Ness Ave APT 4,2.0,2.0,1454.0,06/15/2015,1140000.0,37.798282,-122.42349,Russian Hill,5.0,Condominium,1926.0,1202954.0,94109.0
Address: 2444 Van Ness Avenue #5,2444 Van Ness Ave APT 5,2.0,2.0,1421.0,06/15/2015,1140000.0,37.798282,-122.42349,Russian Hill,5.0,Condominium,1926.0,1195543.0,94109.0
Address: 2444 Van Ness Avenue #6,2444 Van Ness Ave APT 6,2.0,2.0,1454.0,06/15/2015,1140000.0,37.798282,-122.42349,Russian Hill,5.0,Condominium,1926.0,1202954.0,94109.0
Address: 83 Mirabel Avenue,83 Mirabel Ave,3.0,3.0,1400.0,06/15/2015,2143500.0,37.746841,-122.415456,Bernal Heights,6.0,SingleFamily,1938.0,1946446.0,94110.0
Address: 2950 Vallejo Street,2950 Vallejo St,5.0,8.0,8000.0,06/15/2015,16760000.0,37.794145,-122.445922,Pacific Heights,10.0,SingleFamily,1927.0,13833342.0,94123.0
Address: 8 Octavia Street #408,8 Octavia St UNIT 408,2.0,1.0,385.0,06/12/2015,172500.0,37.772243,-122.423439,Hayes Valley,3.0,Condominium,2014.0,700771.0,94102.0
Address: 601 Van Ness Avenue #241,601 Van Ness Ave APT 241,1.0,1.0,758.4996459356917,06/12/2015,835000.0,37.781386,-122.421406,Van Ness - Civic Center,3.0,Condominium,1982.0,803434.0,94102.0
Address: 473 Tehama Street #B,473 Tehama St # B,1.0,2.0,992.0,06/12/2015,845000.0,37.779739,-122.405799,South of Market,5.0,Condominium,1908.0,871964.0,94103.0
